date,prc,ticker
2024-05-24,430.16,MSFT
2024-05-28,430.32001,MSFT
2024-05-29,429.17001,MSFT
2024-05-30,414.67001,MSFT
2024-05-31,415.13,MSFT
2024-06-03,413.51999,MSFT
2024-06-04,416.07001,MSFT
2024-06-05,424.01001,MSFT
2024-06-06,424.51999,MSFT
2024-06-07,423.85001,MSFT
2024-06-10,427.87,MSFT
2024-06-11,432.67999,MSFT
2024-06-12,441.06,MSFT
2024-06-13,441.57999,MSFT
2024-06-14,442.57001,MSFT
2024-06-17,448.37,MSFT
2024-06-18,446.34,MSFT
2024-06-20,445.70001,MSFT
2024-06-21,449.78,MSFT
2024-06-24,447.67001,MSFT
2024-06-25,450.95001,MSFT
2024-06-26,452.16,MSFT
2024-06-27,452.85001,MSFT
2024-06-28,446.95001,MSFT
2024-07-01,456.73001,MSFT
2024-07-02,459.28,MSFT
2024-07-03,460.76999,MSFT
2024-07-05,467.56,MSFT
2024-07-08,466.23999,MSFT
2024-07-09,459.54001,MSFT
2024-07-10,466.25,MSFT
2024-07-11,454.70001,MSFT
2024-07-12,453.54999,MSFT
2024-07-15,453.95999,MSFT
2024-07-16,449.51999,MSFT
2024-07-17,443.51999,MSFT
2024-07-18,440.37,MSFT
2024-07-19,437.10999,MSFT
2024-07-22,442.94,MSFT
2024-07-23,444.85001,MSFT
2024-07-24,428.89999,MSFT
2024-07-25,418.39999,MSFT
2024-07-26,425.26999,MSFT
2024-07-29,426.73001,MSFT
2024-07-30,422.92001,MSFT
2024-07-31,418.35001,MSFT
2024-08-01,417.10999,MSFT
2024-08-02,408.48999,MSFT
2024-08-05,395.14999,MSFT
2024-08-06,399.60999,MSFT
2024-08-07,398.42999,MSFT
2024-08-08,402.69,MSFT
2024-08-09,406.01999,MSFT
2024-08-12,406.81,MSFT
2024-08-13,414.01001,MSFT
2024-08-14,416.85999,MSFT
2024-08-15,421.03,MSFT
2024-08-16,418.47,MSFT
2024-08-19,421.53,MSFT
2024-08-20,424.79999,MSFT
2024-08-21,424.14001,MSFT
2024-08-22,415.54999,MSFT
2024-08-23,416.79001,MSFT
2024-08-26,413.48999,MSFT
2024-08-27,413.84,MSFT
2024-08-28,410.60001,MSFT
2024-08-29,413.12,MSFT
2024-08-30,417.14001,MSFT
2024-09-03,409.44,MSFT
2024-09-04,408.89999,MSFT
2024-09-05,408.39001,MSFT
2024-09-06,401.70001,MSFT
2024-09-09,405.72,MSFT
2024-09-10,414.20001,MSFT
2024-09-11,423.04001,MSFT
2024-09-12,427.0,MSFT
2024-09-13,430.59,MSFT
2024-09-16,431.34,MSFT
2024-09-17,435.14999,MSFT
2024-09-18,430.81,MSFT
2024-09-19,438.69,MSFT
2024-09-20,435.26999,MSFT
2024-09-23,433.51001,MSFT
2024-09-24,429.17001,MSFT
2024-09-25,432.10999,MSFT
2024-09-26,431.31,MSFT
2024-09-27,428.01999,MSFT
2024-09-30,430.29999,MSFT
2024-10-01,420.69,MSFT
2024-10-02,417.13,MSFT
2024-10-03,416.54001,MSFT
2024-10-04,416.06,MSFT
2024-10-07,409.54001,MSFT
2024-10-08,414.70999,MSFT
2024-10-09,417.45999,MSFT
2024-10-10,415.84,MSFT
2024-10-11,416.32001,MSFT
2024-10-14,419.14001,MSFT
2024-10-15,418.73999,MSFT
2024-10-16,416.12,MSFT
2024-10-17,416.72,MSFT
2024-10-18,418.16,MSFT
2024-10-21,418.78,MSFT
